DISPLAY_FIRST_LAST,POSITION,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Jarrell Brantley,Forward,77,0.526,0.353,0.768,5.7,0.57,0.223,0.379,7,22.6,12,2.3,2.6,15.7,27.5
Jarrett Allen,Center,81,0.579,0,0.564,3.7,0.571,0.022,0.472,10.9,18.9,5.7,1,5,17.8,22.6
Jarrett Culver,Guard-Forward,78,0.522,0.341,0.687,4,0.548,0.351,0.363,5.3,16.8,20.6,2.6,2.7,13.6,27.8
Jawun Evans,Guard,72,0.458,0.407,0.818,4.7,0.547,0.196,0.4,2.5,12.5,42.9,3,0.6,15.1,29.8
Jaxson Hayes,Center-Forward,84,0.728,NA,0.74,8.6,0.739,0,0.592,8.7,16.3,2.6,1.5,10.6,11.8,17.2
Jaylen Brown,Guard-Forward,78,0.482,0.294,0.654,6.7,0.518,0.27,0.574,4.4,16.6,15.3,1.7,2.2,17.9,31.4
Jaylen Nowell,Guard,76,0.504,0.396,0.789,4.4,0.563,0.257,0.279,3.6,12.9,19.3,2,0.8,16,26
Jayson Tatum,Forward-Guard,80,0.504,0.342,0.849,5.1,0.566,0.321,0.381,4.8,19.7,12.4,2.3,3.2,15,26.2
Jeff Withey,Center,84,0.567,1,0.726,5.3,0.616,0.002,0.677,9.9,21.2,5.8,1.5,14.3,15.3,19.7
Jerami Grant,Forward,80,0.496,0.3,0.641,5.3,0.536,0.052,0.652,9,16.5,8.1,1.8,3,11.1,19.1
Jeremy Lamb,Guard-Forward,77,0.573,0.348,0.806,3.1,0.58,0.406,0.217,4,12.2,11.2,2,1.9,11.6,22.2
Jerian Grant,Guard,76,0.498,0.345,0.79,3.2,0.563,0.407,0.444,1.4,8.4,31.9,2.6,0.9,14.7,23.1
Jerome Robinson,Guard,76,0.488,0.376,0.755,4.1,0.551,0.339,0.327,1.7,11.1,20.6,2.1,0.8,15.2,27.4
Jevon Carter,Guard,73,0.453,0.355,0.798,4.8,0.534,0.471,0.298,3.2,11.7,24.3,4.4,1,13.8,21
Jimmer Fredette,Guard,74,0.497,0.394,0.882,2,0.596,0.408,0.386,2.4,8.3,26.3,2.1,0.3,13.8,30.5
